CustomerID,Gender,Age,Tenure,Contract Type,Monthly Charges,Total Charges,Internet Service,Payment Method,Churn
C00001,Male,56,16,Yearly,91,1439,Fiber,Bank Transfer,No
C00002,Female,62,67,Quarterly,38,2552,Wireless,Bank Transfer,No
C00003,Female,75,11,Quarterly,137,1497,Wireless,Debit Card,Yes
C00004,Female,40,64,Quarterly,68,4364,Wireless,UPI,No
C00005,Female,69,49,Yearly,53,2582,Fiber,Cash,No
C00006,Female,57,21,Monthly,61,1288,Wireless,Bank Transfer,No
C00007,Male,26,19,Monthly,97,1856,Wireless,Credit Card,No
C00008,Female,68,35,Monthly,119,4161,Cable,Credit Card,No
C00009,Male,53,1,Quarterly,56,36,DSL,Cash,No
C00010,Male,73,8,Monthly,37,313,Cable,UPI,Yes
C00011,Male,36,22,Monthly,51,1141,Fiber,Bank Transfer,No
C00012,Female,24,72,Monthly,138,9938,DSL,UPI,No
C00013,Female,59,28,Monthly,36,1014,Cable,Bank Transfer,No
C00014,Female,28,17,Quarterly,32,534,Fiber,Cash,No
C00015,Female,60,5,Monthly,64,329,Cable,Credit Card,Yes
C00016,Female,38,61,Monthly,62,3767,Cable,UPI,Yes
C00017,Female,25,54,Yearly,65,3505,Cable,UPI,No
C00018,Male,18,15,Yearly,104,1543,DSL,Bank Transfer,No
C00019,Female,56,56,Yearly,123,6888,DSL,Credit Card,No
C00020,Female,69,32,Monthly,101,3228,DSL,Credit Card,No
C00021,Male,37,71,Monthly,124,8814,Wireless,UPI,No
C00022,Male,49,13,Yearly,73,959,Cable,Bank Transfer,Yes
C00023,Male,53,55,Quarterly,31,1686,Fiber,Credit Card,No
C00024,Male,45,32,Quarterly,30,964,Fiber,Bank Transfer,No
C00025,Male,20,17,Monthly,69,1158,Wireless,Debit Card,No
C00026,Male,48,61,Quarterly,56,3416,Wireless,Debit Card,No
C00027,Male,56,56,Quarterly,89,5001,Cable,Debit Card,No
C00028,Male,29,72,Monthly,104,7472,DSL,Debit Card,No
C00029,Male,39,1,Monthly,60,46,Fiber,UPI,Yes
C00030,Female,44,16,Monthly,99,1572,Wireless,Cash,No
C00031,Male,36,13,Quarterly,130,1698,Cable,Debit Card,No
C00032,Male,61,12,Quarterly,73,895,Fiber,Credit Card,No
C00033,Female,58,14,Quarterly,93,1305,Fiber,Debit Card,No
C00034,Male,42,43,Monthly,81,3475,DSL,Debit Card,Yes
C00035,Female,30,65,Monthly,127,8260,DSL,Cash,Yes
C00036,Male,28,21,Monthly,83,1755,Wireless,Cash,No
C00037,Female,31,6,Monthly,130,769,Cable,Credit Card,No
C00038,Female,52,40,Monthly,44,1759,Fiber,Credit Card,No
C00039,Male,30,49,Monthly,139,6812,Cable,Bank Transfer,Yes
C00040,Male,62,65,Monthly,70,4553,DSL,Credit Card,Yes
C00041,Male,64,58,Monthly,141,8181,Fiber,Credit Card,Yes
C00042,Male,28,63,Monthly,136,8579,Fiber,Credit Card,Yes
C00043,Female,39,37,Monthly,111,4097,DSL,UPI,No
C00044,Male,56,53,Monthly,97,5147,Fiber,Cash,Yes
C00045,Female,52,25,Yearly,117,2939,Wireless,UPI,No
C00046,Female,52,9,Monthly,78,712,Wireless,Bank Transfer,No
C00047,Female,62,25,Quarterly,111,2787,Cable,Cash,No
C00048,Male,18,8,Yearly,35,271,Cable,Debit Card,No
C00049,Female,55,17,Quarterly,65,1120,Fiber,Debit Card,No
C00050,Female,23,15,Monthly,134,2026,Cable,Credit Card,No
C00051,Female,70,22,Monthly,135,2990,Wireless,Debit Card,Yes
C00052,Male,56,6,Quarterly,85,492,Cable,Debit Card,No
C00053,Male,63,66,Quarterly,97,6386,Cable,Debit Card,No
C00054,Female,46,54,Quarterly,95,5117,Wireless,UPI,No
C00055,Male,33,49,Monthly,75,3669,Wireless,UPI,No
C00056,Male,31,63,Monthly,78,4908,Fiber,Cash,No
C00057,Female,57,4,Quarterly,38,146,Wireless,Cash,Yes
C00058,Female,69,53,Monthly,31,1635,Fiber,Credit Card,No
C00059,Male,66,10,Monthly,88,878,Cable,Bank Transfer,No
C00060,Male,39,61,Quarterly,35,2122,DSL,Cash,No
C00061,Male,19,14,Yearly,78,1073,Wireless,Bank Transfer,No
C00062,Male,51,34,Quarterly,83,2809,Wireless,Debit Card,No
C00063,Female,19,19,Yearly,92,1749,Fiber,Bank Transfer,No
C00064,Male,71,6,Monthly,130,761,DSL,UPI,No
C00065,Female,21,37,Quarterly,30,1095,Wireless,Credit Card,No
C00066,Male,60,50,Yearly,120,6000,Wireless,UPI,No
C00067,Male,55,72,Quarterly,108,7756,DSL,Cash,No
C00068,Female,51,15,Yearly,76,1131,Fiber,Credit Card,No
C00069,Male,71,31,Monthly,84,2597,Wireless,Cash,No
C00070,Male,53,48,Monthly,144,6916,Fiber,Bank Transfer,No
C00071,Female,61,6,Monthly,136,827,Fiber,Credit Card,Yes
C00072,Male,56,22,Monthly,113,2496,Wireless,Credit Card,No
C00073,Female,22,53,Quarterly,35,1869,Cable,Cash,No
C00074,Male,20,22,Quarterly,63,1391,Fiber,Cash,No
C00075,Female,73,23,Quarterly,142,3280,Wireless,Credit Card,No
C00076,Male,18,38,Quarterly,66,2491,Wireless,Credit Card,No
